Depth,DENB,GRDE,CADE                    
0.000,-999.250,93.230,-999.250,
0.100,-999.250,85.500,-999.250,
0.200,-999.250,71.200,-999.250,
0.300,-999.250,74.160,-999.250,
0.400,-999.250,66.270,-999.250,
0.500,-999.250,64.130,-999.250,
0.600,-999.250,43.250,-999.250,
0.700,-999.250,50.810,-999.250,
0.800,-999.250,75.970,-999.250,
0.900,-999.250,66.590,-999.250,
1.000,-999.250,76.950,-999.250,
1.100,-999.250,66.590,-999.250,
1.200,-999.250,76.950,-999.250,
1.300,-999.250,86.820,-999.250,
1.400,-999.250,60.680,-999.250,
1.500,-999.250,79.260,-999.250,
1.600,-999.250,69.060,-999.250,
1.700,-999.250,74.490,-999.250,
1.800,-999.250,67.910,-999.250,
1.900,-999.250,72.350,106.310,
2.000,-999.250,64.950,106.310,
2.100,-999.250,52.120,106.290,
2.200,-999.250,80.900,106.280,
2.300,-999.250,70.210,106.250,
2.400,-999.250,71.360,106.290,
2.500,-999.250,83.200,106.290,
2.600,-999.250,69.880,106.300,
2.700,-999.250,50.640,106.270,
2.800,2.690,68.730,106.250,
2.900,2.690,55.910,106.260,
3.000,2.680,78.100,106.290,
3.100,2.670,87.480,106.290,
3.200,2.690,81.230,106.290,
3.300,2.730,82.870,106.310,
3.400,2.770,81.390,106.290,
3.500,2.800,110.330,106.290,
3.600,2.790,60.680,106.300,
3.700,2.780,100.800,106.330,
3.800,2.780,81.060,106.320,
3.900,2.790,74.160,106.280,
4.000,2.790,76.950,106.290,
4.100,2.790,82.380,106.290,
4.200,2.790,76.460,106.310,
4.300,2.790,76.460,106.290,
4.400,2.800,91.750,106.280,
4.500,2.800,68.900,106.290,
4.600,2.820,61.500,106.280,
4.700,2.820,61.170,106.290,
4.800,2.820,60.680,106.270,
4.900,2.820,72.840,106.270,
5.000,2.820,70.540,106.270,
5.100,2.820,51.630,106.280,
5.200,2.810,62.320,106.310,
5.300,2.820,65.940,106.310,
5.400,2.830,75.150,106.310,
5.500,2.850,81.720,106.290,
5.600,2.850,64.620,106.270,
5.700,2.830,50.810,106.270,
5.800,2.810,54.430,106.260,
5.900,2.830,47.520,106.290,
6.000,2.840,53.110,106.290,
6.100,2.840,71.690,106.310,
6.200,2.810,78.100,106.290,
6.300,2.800,65.940,106.310,
6.400,2.760,60.840,106.310,
6.500,2.740,60.350,106.310,
6.600,2.690,47.360,106.290,
6.700,2.620,79.420,106.310,
6.800,2.590,73.670,106.310,
6.900,2.530,73.990,106.310,
7.000,2.410,71.860,106.290,
7.100,2.270,73.170,106.290,
7.200,2.130,48.180,106.290,
7.300,2.050,78.430,106.280,
7.400,2.100,66.760,106.290,
7.500,2.300,60.510,106.280,
7.600,2.460,66.100,106.280,
7.700,2.410,56.070,106.250,
7.800,2.170,60.350,106.230,
7.900,1.950,51.140,106.230,
8.000,1.850,56.730,106.300,
8.100,1.960,69.230,106.680,
8.200,2.190,64.950,107.320,
8.300,2.400,80.570,107.930,
8.400,2.490,58.700,108.240,
8.500,2.480,72.510,108.230,
8.600,2.500,55.910,108.220,
8.700,2.550,58.540,108.220,
8.800,2.630,65.440,108.230,
8.900,2.680,49.170,108.250,
9.000,2.690,38.970,108.240,
9.100,2.690,38.310,108.230,
9.200,2.670,53.930,108.200,
9.300,2.630,45.220,108.200,
9.400,2.610,37.490,108.220,
9.500,2.630,29.430,108.240,
9.600,2.670,48.340,108.230,
9.700,2.680,45.050,108.220,
9.800,2.710,51.800,108.220,
9.900,2.740,55.080,108.230,
10.000,2.720,58.700,108.210,
10.100,2.680,45.050,108.190,
10.200,2.640,52.780,108.190,
10.300,2.620,34.860,108.220,
10.400,2.600,55.910,108.230,
10.500,2.600,49.490,108.210,
10.600,2.610,45.710,108.170,
10.700,2.620,53.930,108.160,
10.800,2.620,74.320,108.180,
10.900,2.650,67.250,108.200,
11.000,2.660,81.060,108.230,
11.100,2.650,84.680,108.270,
11.200,2.630,91.260,108.240,
11.300,2.630,120.360,108.240,
11.400,2.660,97.340,108.210,
11.500,2.700,120.690,108.230,
11.600,2.770,115.430,108.220,
11.700,2.790,118.230,108.220,
11.800,2.800,90.600,108.210,
11.900,2.780,93.400,108.200,
12.000,2.770,100.300,108.210,
12.100,2.750,100.800,108.200,
12.200,2.750,119.210,108.220,
12.300,2.760,80.410,108.220,
12.400,2.780,89.780,108.240,
12.500,2.800,99.320,108.250,
12.600,2.800,109.680,108.230,
12.700,2.810,116.910,108.220,
12.800,2.800,106.720,108.220,
12.900,2.790,89.620,108.240,
13.000,2.800,92.080,108.240,
13.100,2.800,95.860,108.240,
13.200,2.810,95.860,108.240,
13.300,2.810,140.920,108.230,
13.400,2.810,115.270,108.220,
13.500,2.800,120.360,108.220,
13.600,2.800,92.080,108.210,
13.700,2.820,107.540,108.190,
13.800,2.840,103.760,108.180,
13.900,2.840,99.970,108.220,
14.000,2.830,90.770,108.180,
14.100,2.820,66.920,107.530,
14.200,2.820,109.180,106.850,
14.300,2.800,95.860,106.270,
14.400,2.790,120.690,106.280,
14.500,2.760,79.910,106.290,
14.600,2.760,82.220,106.290,
14.700,2.770,93.730,106.310,
14.800,2.810,102.110,106.300,
14.900,2.840,96.030,106.330,
15.000,2.850,81.060,106.310,
15.100,2.840,129.570,106.320,
15.200,2.820,82.220,106.290,
15.300,2.810,76.300,106.290,
15.400,2.800,64.950,106.290,
15.500,2.810,91.750,106.290,
15.600,2.820,75.150,106.300,
15.700,2.850,98.490,106.280,
15.800,2.860,107.370,106.290,
15.900,2.840,106.720,106.290,
16.000,2.800,92.740,106.310,
16.100,2.780,112.470,106.290,
16.200,2.790,124.970,106.280,
16.300,2.790,92.080,106.290,
16.400,2.810,118.390,106.280,
16.500,2.810,89.940,106.290,
16.600,2.830,110.330,106.280,
16.700,2.840,124.470,106.290,
16.800,2.830,82.380,106.300,
16.900,2.830,116.910,106.330,
17.000,2.840,78.760,106.340,
17.100,2.850,70.210,106.310,
17.200,2.860,104.410,106.290,
17.300,2.900,102.610,106.280,
17.400,2.940,96.360,106.310,
17.500,2.950,103.760,106.310,
17.600,2.940,115.100,106.300,
17.700,2.930,78.100,106.270,
17.800,2.920,66.430,106.270,
17.900,2.910,77.780,106.280,
18.000,2.900,85.180,106.310,
18.100,2.910,82.380,106.290,
18.200,2.900,89.780,106.290,
18.300,2.910,100.960,106.290,
18.400,2.890,98.990,106.310,
18.500,2.900,86.980,106.310,
18.600,2.910,115.100,106.290,
18.700,2.950,77.120,106.290,
18.800,2.960,75.640,106.290,
18.900,2.950,94.220,106.290,
19.000,2.920,106.550,106.290,
19.100,2.910,104.250,106.290,
19.200,2.900,75.800,106.290,
19.300,2.930,88.790,106.290,
19.400,2.950,100.300,106.280,
19.500,2.950,92.250,106.250,
19.600,2.940,64.790,106.250,
19.700,2.930,102.770,106.270,
19.800,2.910,95.530,106.330,
19.900,2.910,125.300,106.330,
20.000,2.910,95.210,106.320,
20.100,2.920,128.090,106.290,
20.200,2.940,117.240,106.280,
20.300,2.960,130.230,106.310,
20.400,2.980,75.800,106.310,
20.500,2.960,81.560,106.310,
20.600,2.950,108.520,106.290,
20.700,2.940,103.760,106.270,
20.800,2.930,88.460,106.270,
20.900,2.940,89.450,106.260,
21.000,2.950,85.010,106.270,
21.100,2.980,130.560,106.280,
21.200,2.990,74.820,106.290,
21.300,3.000,67.420,106.310,
21.400,3.000,68.240,106.310,
21.500,3.000,81.390,106.310,
21.600,2.980,100.470,106.330,
21.700,2.960,91.260,106.330,
21.800,2.930,86.660,106.310,
21.900,2.910,117.240,106.280,
22.000,2.910,111.810,106.260,
22.100,2.910,111.650,106.280,
22.200,2.920,86.160,106.260,
22.300,2.920,67.910,106.290,
22.400,2.930,104.740,106.280,
22.500,2.930,105.240,106.290,
22.600,2.930,94.220,106.300,
22.700,2.930,112.960,106.270,
22.800,2.920,98.820,106.250,
22.900,2.900,87.970,106.260,
23.000,2.950,88.630,106.280,
23.100,3.030,69.390,106.310,
23.200,3.070,73.170,106.310,
23.300,3.030,55.080,106.330,
23.400,2.950,82.380,106.300,
23.500,2.920,89.940,106.270,
23.600,2.910,77.120,106.260,
23.700,2.930,82.540,106.280,
23.800,2.950,82.710,106.290,
23.900,2.960,96.850,106.290,
24.000,2.970,89.290,106.280,
24.100,2.950,122.170,106.290,
24.200,2.950,93.070,106.310,
24.300,2.950,107.040,106.290,
24.400,2.960,92.080,106.290,
24.500,2.980,109.350,106.290,
24.600,2.990,111.650,106.290,
24.700,2.980,110.990,106.270,
24.800,2.970,117.400,106.280,
24.900,2.980,101.950,106.310,
25.000,3.000,111.160,106.290,
25.100,3.010,114.120,106.300,
25.200,3.020,99.480,106.280,
25.300,3.030,57.720,106.290,
25.400,3.030,100.800,106.280,
25.500,3.020,89.290,106.290,
25.600,3.010,101.130,106.290,
25.700,3.010,99.810,106.290,
25.800,3.000,79.580,106.270,
25.900,2.970,93.730,106.350,
26.000,2.950,95.040,106.880,
26.100,2.920,83.700,107.540,
26.200,2.900,91.260,108.090,
26.300,2.900,106.220,108.230,
26.400,2.870,73.010,108.530,
26.500,2.730,99.480,109.820,
26.600,2.540,108.690,111.410,
26.700,2.390,128.590,112.790,
26.800,2.360,85.180,113.360,
26.900,2.370,128.260,113.880,
27.000,2.370,152.760,114.380,
27.100,2.370,88.790,114.700,
27.200,2.360,149.470,114.760,
27.300,2.360,141.740,114.780,
27.400,2.360,130.070,114.790,
27.500,2.370,115.270,114.700,
27.600,2.380,96.850,114.420,
27.700,2.410,107.370,113.960,
27.800,2.430,103.590,113.530,
27.900,2.440,115.760,113.420,
28.000,2.400,125.130,113.710,
28.100,2.360,160.650,114.150,
28.200,2.340,158.680,114.640,
28.300,2.330,118.060,115.100,
28.400,2.330,152.760,115.430,
28.500,2.310,128.260,115.590,
28.600,2.310,122.500,115.680,
28.700,2.320,139.770,116.050,
28.800,2.350,126.450,116.450,
28.900,2.360,126.450,116.750,
29.000,2.360,152.760,116.760,
29.100,2.350,125.460,116.760,
29.200,2.350,155.390,116.810,
29.300,2.350,119.540,117.060,
29.400,2.360,129.410,117.460,
29.500,2.370,131.050,117.820,
29.600,2.370,119.540,118.020,
29.700,2.380,149.300,118.010,
29.800,2.370,151.110,118.030,
29.900,2.350,147.820,118.030,
30.000,2.340,127.930,118.050,
30.100,2.320,127.600,118.040,
30.200,2.320,110.660,118.020,
30.300,2.340,116.090,118.050,
30.400,2.360,88.460,118.050,
30.500,2.380,94.880,118.060,
30.600,2.370,94.220,118.030,
30.700,2.370,119.050,118.040,
30.800,2.370,132.040,118.010,
30.900,2.370,87.150,118.020,
31.000,2.370,146.510,118.010,
31.100,2.280,103.920,118.340,
31.200,2.200,131.380,119.050,
31.300,2.170,98.820,118.750,
31.400,2.250,125.630,117.720,
31.500,2.320,122.670,116.290,
31.600,2.340,151.930,115.710,
31.700,2.360,116.580,115.250,
31.800,2.390,147.500,114.810,
31.900,2.410,145.360,114.480,
32.000,2.400,139.600,114.440,
32.100,2.370,129.240,114.300,
32.200,2.350,138.620,114.030,
32.300,2.350,138.120,113.760,
32.400,2.370,104.580,113.570,
32.500,2.390,100.800,113.600,
32.600,2.400,128.090,113.780,
32.700,2.400,129.240,114.090,
32.800,2.390,132.200,114.350,
32.900,2.400,142.560,114.370,
33.000,2.410,156.370,113.960,
33.100,2.420,93.400,113.570,
