Depth,DENB,GRDE,CADE                    
0,-999.25,93.23,-999.25
0.1,-999.25,85.5,-999.25
0.2,-999.25,71.2,-999.25
0.3,-999.25,74.16,-999.25
0.4,-999.25,66.27,-999.25
0.5,-999.25,64.13,-999.25
0.6,-999.25,43.25,-999.25
0.7,-999.25,50.81,-999.25
0.8,-999.25,75.97,-999.25
0.9,-999.25,66.59,-999.25
1,-999.25,76.95,-999.25
1.1,-999.25,66.59,-999.25
1.2,-999.25,76.95,-999.25
1.3,-999.25,86.82,-999.25
1.4,-999.25,60.68,-999.25
1.5,-999.25,79.26,-999.25
1.6,-999.25,69.06,-999.25
1.7,-999.25,74.49,-999.25
1.8,-999.25,67.91,-999.25
1.9,-999.25,72.35,106.31
2,-999.25,64.95,106.31
2.1,-999.25,52.12,106.29
2.2,-999.25,80.9,106.28
2.3,-999.25,70.21,106.25
2.4,-999.25,71.36,106.29
2.5,-999.25,83.2,106.29
2.6,-999.25,69.88,106.3
2.7,-999.25,50.64,106.27
2.8,2.69,68.73,106.25
2.9,2.69,55.91,106.26
3,2.68,78.1,106.29
3.1,2.67,87.48,106.29
3.2,2.69,81.23,106.29
3.3,2.73,82.87,106.31
3.4,2.77,81.39,106.29
3.5,2.8,110.33,106.29
3.6,2.79,60.68,106.3
3.7,2.78,100.8,106.33
3.8,2.78,81.06,106.32
3.9,2.79,74.16,106.28
4,2.79,76.95,106.29
4.1,2.79,82.38,106.29
4.2,2.79,76.46,106.31
4.3,2.79,76.46,106.29
4.4,2.8,91.75,106.28
4.5,2.8,68.9,106.29
4.6,2.82,61.5,106.28
4.7,2.82,61.17,106.29
4.8,2.82,60.68,106.27
4.9,2.82,72.84,106.27
5,2.82,70.54,106.27
5.1,2.82,51.63,106.28
5.2,2.81,62.32,106.31
5.3,2.82,65.94,106.31
5.4,2.83,75.15,106.31
5.5,2.85,81.72,106.29
5.6,2.85,64.62,106.27
5.7,2.83,50.81,106.27
5.8,2.81,54.43,106.26
5.9,2.83,47.52,106.29
6,2.84,53.11,106.29
6.1,2.84,71.69,106.31
6.2,2.81,78.1,106.29
6.3,2.8,65.94,106.31
6.4,2.76,60.84,106.31
6.5,2.74,60.35,106.31
6.6,2.69,47.36,106.29
6.7,2.62,79.42,106.31
6.8,2.59,73.67,106.31
6.9,2.53,73.99,106.31
7,2.41,71.86,106.29
7.1,2.27,73.17,106.29
7.2,2.13,48.18,106.29
7.3,2.05,78.43,106.28
7.4,2.1,66.76,106.29
7.5,2.3,60.51,106.28
7.6,2.46,66.1,106.28
7.7,2.41,56.07,106.25
7.8,2.17,60.35,106.23
7.9,1.95,51.14,106.23
8,1.85,56.73,106.3
